dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
hurricane,QCLOUDf48.log10.bin,100x500x500,5e-3,p80f1,,0.000000,0.000000,49.403126,0.999516,49.403126,0.999516,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_log10_bin_eb5e-3_p80f1.log
hurricane,QCLOUDf48.log10.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,48.952024,0.998698,48.952024,0.998698,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_log10_bin_eb1e-2_p80f1.log
hurricane,QGRAUPf48.log10.bin,100x500x500,1e-3,p80f1,1,0.068699,0.169727,64.943399,0.978489,65.662895,0.990882,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_log10_bin_eb1e-3_p80f1.log
hurricane,QGRAUPf48.log10.bin,100x500x500,5e-3,p80f1,1.0022,0.162584,0.462978,50.999884,0.826125,53.217577,0.926677,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_log10_bin_eb5e-3_p80f1.log
hurricane,QGRAUPf48.log10.bin,100x500x500,1e-2,p80f1,2.45531,0.257356,0.501212,44.927197,0.682216,47.137585,0.848117,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_log10_bin_eb1e-2_p80f1.log
hurricane,QICEf48.log10.bin,100x500x500,1e-3,p80f1,,0.000000,0.000000,66.669550,0.999953,66.669550,0.999953,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_log10_bin_eb1e-3_p80f1.log
hurricane,QICEf48.log10.bin,100x500x500,5e-3,p80f1,,0.000000,0.000000,47.273350,0.998961,47.273350,0.998961,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_log10_bin_eb5e-3_p80f1.log
hurricane,QICEf48.log10.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,46.761185,0.996765,46.761185,0.996765,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_log10_bin_eb1e-2_p80f1.log
hurricane,QRAINf48.log10.bin,100x500x500,1e-3,p80f1,1,0.065309,0.172435,64.847768,0.963809,65.581529,0.986149,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_log10_bin_eb1e-3_p80f1.log
hurricane,QRAINf48.log10.bin,100x500x500,5e-3,p80f1,1.00265,0.168949,0.426567,50.869996,0.811544,52.723866,0.909898,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_log10_bin_eb5e-3_p80f1.log
hurricane,QRAINf48.log10.bin,100x500x500,1e-2,p80f1,2.45465,0.249932,0.467817,44.930531,0.698337,46.909825,0.856340,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_log10_bin_eb1e-2_p80f1.log
hurricane,QSNOWf48.log10.bin,100x500x500,1e-3,p80f1,1,0.067266,0.166607,64.898184,0.975831,65.554050,0.989597,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_log10_bin_eb1e-3_p80f1.log
hurricane,QSNOWf48.log10.bin,100x500x500,5e-3,p80f1,1.00216,0.182818,0.466073,51.010230,0.827444,53.067280,0.924277,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_log10_bin_eb5e-3_p80f1.log
hurricane,QSNOWf48.log10.bin,100x500x500,1e-2,p80f1,3.0032,0.328080,0.454559,44.769350,0.683825,46.107741,0.830146,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_log10_bin_eb1e-2_p80f1.log
nyx,velocity_x,512x512x512,1e-3,gs5,5.0,0.176893,0.528915,64.770879,0.960492,68.511110,0.987089,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_x_eb1e-3_gs5.log
nyx,velocity_x,512x512x512,5e-3,gs5,5.0,0.158469,0.823927,50.795315,0.556353,59.382492,0.923326,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_x_eb5e-3_gs5.log
nyx,velocity_x,512x512x512,1e-2,gs5,5.0,0.135054,0.859677,44.758605,0.271399,54.214148,0.853456,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_x_eb1e-2_gs5.log
nyx,velocity_y,512x512x512,1e-3,gs5,5.0,0.214842,0.617601,64.770111,0.933545,69.008116,0.979198,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_y_eb1e-3_gs5.log
nyx,velocity_y,512x512x512,5e-3,gs5,5.0,0.160781,0.828732,50.800854,0.425588,59.545527,0.878594,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_y_eb5e-3_gs5.log
nyx,velocity_y,512x512x512,1e-2,gs5,5.0,0.136352,0.860873,44.731495,0.192604,53.931657,0.772115,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_y_eb1e-2_gs5.log
nyx,velocity_z,512x512x512,1e-3,gs5,5.0,0.183626,0.506442,64.772546,0.962157,68.113932,0.985901,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_z_eb1e-3_gs5.log
nyx,velocity_z,512x512x512,5e-3,gs5,5.0,0.173288,0.808252,50.794898,0.559852,58.866566,0.907617,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_z_eb5e-3_gs5.log
nyx,velocity_z,512x512x512,1e-2,gs5,5.0,0.146613,0.848321,44.755193,0.276103,53.924181,0.823725,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_velocity_z_eb1e-2_gs5.log
nyx,baryon_density,512x512x512,1e-3,gs5,5.0,0.000000,0.000000,92.978121,0.002034,92.978121,0.002034,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_baryon_density_eb1e-3_gs5.log
nyx,baryon_density,512x512x512,5e-3,gs5,5.0,,,88.817858,0.000615,88.817858,0.000615,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_baryon_density_eb5e-3_gs5.log
nyx,baryon_density,512x512x512,1e-2,gs5,5.0,,,86.751905,0.000363,86.751905,0.000363,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_baryon_density_eb1e-2_gs5.log
nyx,dark_matter_density,512x512x512,1e-3,gs5,5.0,0.000000,0.000000,78.688234,0.063949,78.688234,0.063949,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_dark_matter_density_eb1e-3_gs5.log
