dataset,field,rel_eb,initial_psnr,initial_ssim,final_psnr,final_ssim,psnr_delta,harm_rate,benefit_rate,skipped,skip_reason
hurricane,QVAPORf48.bin,1e-2,46.770003,0.433618,47.605458,0.567158,0.8355,0.476503,0.321412,0,""
hurricane,TCf48.bin,1e-3,64.788895,0.998102,64.869983,0.998484,0.0811,0.011858,0.024724,0,""
hurricane,TCf48.bin,5e-3,50.806895,0.963408,52.014408,0.983670,1.2075,0.075941,0.218834,0,""
hurricane,TCf48.bin,1e-2,44.801048,0.899577,49.785805,0.965914,4.9848,0.225879,0.611954,0,""
hurricane,Uf48.bin,1e-3,64.791495,0.995396,64.976962,0.996128,0.1855,0.036069,0.069233,0,""
hurricane,Uf48.bin,5e-3,50.812437,0.909984,54.373474,0.968323,3.5610,0.208918,0.570314,0,""
hurricane,Uf48.bin,1e-2,44.783027,0.748742,50.017736,0.916693,5.2347,0.241211,0.711682,0,""
hurricane,Vf48.bin,1e-3,64.789575,0.995436,65.034319,0.996289,0.2447,0.032930,0.069933,0,""
hurricane,Vf48.bin,5e-3,50.815484,0.910867,54.459362,0.969197,3.6439,0.200618,0.572124,0,""
hurricane,Vf48.bin,1e-2,44.776583,0.753443,50.244085,0.923093,5.4675,0.232901,0.718805,0,""
hurricane,Wf48.bin,1e-3,64.814406,0.970469,64.732767,0.969337,-0.0816,0.170754,0.218907,0,""
hurricane,Wf48.bin,5e-3,51.458105,0.536115,53.280304,0.623777,1.8222,0.372692,0.550175,0,""
hurricane,Wf48.bin,1e-2,47.705588,0.202627,47.705588,0.202627,0.0000,0.000000,0.000000,1,"skipping compensation"
