dataset,field,dims,rel_eb,downsample_factor,edt_total_s,edt_round1_s,edt_round2_s,fill_sign_s,neutral_boundary_s,downsample_boundary_s,compensation_stage_s,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file,sparsity,edge_density,skipped,skip_reason,harm_rate,benefit_rate
nyx,velocity_z,512x512x512,5e-3,4,2.10755,2.08575,0.0218031,0.0461346,0.152445,0.22652,0.238731,50.794898,0.559852,57.647260,0.884314,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb5e-3_f4.log,0.898293,0.275798,0,,0.162492,0.819048
nyx,velocity_z,512x512x512,5e-3,8,2.23509,2.23214,0.00294834,0.0516459,0.152328,0.227647,0.226748,50.794898,0.559852,55.656733,0.804192,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb5e-3_f8.log,0.898293,0.275798,0,,0.141287,0.840254
nyx,velocity_z,512x512x512,1e-2,0,4.21872,2.16128,2.05743,0.0611675,0.124395,0,0.0525571,44.755193,0.276103,53.834594,0.829710,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb1e-2_f0.log,0.797192,0.147357,0,,0.163938,0.830997
nyx,velocity_z,512x512x512,1e-2,2,2.51361,2.22316,0.290453,0.0519959,0.131403,0.159883,0.2239,44.755193,0.276103,53.783425,0.827551,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb1e-2_f2.log,0.797192,0.147357,0,,0.162142,0.832792
nyx,velocity_z,512x512x512,1e-2,4,2.18521,2.16448,0.0207327,0.0690398,0.12741,0.157779,0.224078,44.755193,0.276103,53.377546,0.814648,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb1e-2_f4.log,0.797192,0.147357,0,,0.155315,0.839619
nyx,velocity_z,512x512x512,1e-2,8,2.2349,2.2311,0.00380147,0.0677884,0.127172,0.155019,0.22443,44.755193,0.276103,51.516980,0.741825,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb1e-2_f8.log,0.797192,0.147357,0,,0.145253,0.849682
nyx,baryon_density,512x512x512,1e-3,0,,,,,,,,92.978121,0.002034,92.978121,0.002034,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb1e-3_f0.log,0.000169262,,1,sparsity,0.000000,0.000000
nyx,baryon_density,512x512x512,1e-3,2,,,,,,,,92.978121,0.002034,92.978121,0.002034,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb1e-3_f2.log,0.000169262,,1,sparsity,0.000000,0.000000
nyx,baryon_density,512x512x512,1e-3,4,,,,,,,,92.978121,0.002034,92.978121,0.002034,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb1e-3_f4.log,0.000169262,,1,sparsity,0.000000,0.000000
nyx,baryon_density,512x512x512,1e-3,8,,,,,,,,92.978121,0.002034,92.978121,0.002034,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb1e-3_f8.log,0.000169262,,1,sparsity,0.000000,0.000000
