dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,harm_rms,benefit_rms,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
hurricane,CLOUDf48.bin,100x500x500,1e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,74.551865,0.939593,74.551865,0.939593,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_CLOUDf48_bin_eb1e-3_cgeomoff.log
hurricane,CLOUDf48.bin,100x500x500,1e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,74.551865,0.939593,74.551865,0.939593,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_CLOUDf48_bin_eb1e-3_cgeomon.log
hurricane,CLOUDf48.bin,100x500x500,5e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,61.245129,0.892339,61.245129,0.892339,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_CLOUDf48_bin_eb5e-3_cgeomoff.log
hurricane,CLOUDf48.bin,100x500x500,5e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,61.245129,0.892339,61.245129,0.892339,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_CLOUDf48_bin_eb5e-3_cgeomon.log
hurricane,CLOUDf48.bin,100x500x500,1e-2,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,55.673181,0.866362,55.673181,0.866362,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_CLOUDf48_bin_eb1e-2_cgeomoff.log
hurricane,CLOUDf48.bin,100x500x500,1e-2,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,55.673181,0.866362,55.673181,0.866362,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_CLOUDf48_bin_eb1e-2_cgeomon.log
hurricane,Pf48.bin,100x500x500,1e-3,off,,0.122064,0.365669,3.379467E+00,4.337087E+00,64.802868,0.947586,66.853361,0.987788,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_Pf48_bin_eb1e-3_cgeomoff.log
hurricane,Pf48.bin,100x500x500,1e-3,on,0.003589,0.041352,0.446380,1.641983E-01,4.761875E-01,64.802868,0.947586,64.832804,0.948016,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_Pf48_bin_eb1e-3_cgeomon.log
hurricane,Pf48.bin,100x500x500,5e-3,off,,0.143906,0.784698,1.185648E+01,2.049040E+01,50.730260,0.603833,58.445352,0.953604,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_Pf48_bin_eb5e-3_cgeomoff.log
hurricane,Pf48.bin,100x500x500,5e-3,on,3.00097,0.125887,0.802717,1.235297E+01,2.018293E+01,50.730260,0.603833,58.346274,0.949918,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_Pf48_bin_eb5e-3_cgeomon.log
hurricane,Pf48.bin,100x500x500,1e-2,off,,0.165986,0.824326,2.279032E+01,4.036508E+01,44.815110,0.385721,53.509382,0.897583,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_Pf48_bin_eb1e-2_cgeomoff.log
hurricane,Pf48.bin,100x500x500,1e-2,on,6.08353,0.119749,0.870563,2.428152E+01,3.943089E+01,44.815110,0.385721,54.127755,0.933766,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_Pf48_bin_eb1e-2_cgeomon.log
hurricane,PRECIPf48.bin,100x500x500,1e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,74.109784,0.172587,74.109784,0.172587,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_PRECIPf48_bin_eb1e-3_cgeomoff.log
hurricane,PRECIPf48.bin,100x500x500,1e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,74.109784,0.172587,74.109784,0.172587,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_PRECIPf48_bin_eb1e-3_cgeomon.log
hurricane,PRECIPf48.bin,100x500x500,5e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,61.408998,0.111736,61.408998,0.111736,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_PRECIPf48_bin_eb5e-3_cgeomoff.log
hurricane,PRECIPf48.bin,100x500x500,5e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,61.408998,0.111736,61.408998,0.111736,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_PRECIPf48_bin_eb5e-3_cgeomon.log
hurricane,PRECIPf48.bin,100x500x500,1e-2,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,56.063184,0.081414,56.063184,0.081414,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_PRECIPf48_bin_eb1e-2_cgeomoff.log
hurricane,PRECIPf48.bin,100x500x500,1e-2,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,56.063184,0.081414,56.063184,0.081414,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_PRECIPf48_bin_eb1e-2_cgeomon.log
